Category;ARP No.;Name;Time Signature;Length;Original Tempo;Note/Chord
ApKb;1;70sRock1N;4/4;2;130;N
ApKb;2;70sRock2N;4/4;1;130;N
ApKb;3;70sRock3;4/4;4;130;
ApKb;4;70sRock4N;4/4;1;130;N
ApKb;5;70sRock5N;4/4;2;130;N
ApKb;6;Rock&RollC;4/4;4;172;C
ApKb;7;UnpluggedC;4/4;4;120;C
ApKb;8;EPBalladC;4/4;2;60;C
ApKb;9;Cool8BeatC;4/4;2;100;C
ApKb;10;8BeatBascN;4/4;4;120;N
ApKb;11;8BeatSlw1N;4/4;4;78;N
ApKb;12;8BeatSlw2N;4/4;4;78;N
ApKb;13;Slowfeel1;4/4;1;74;
ApKb;14;Slowfeel2;4/4;1;74;
ApKb;15;16BeatPopC;4/4;4;94;C
ApKb;16;PianoClub1;4/4;1;96;
ApKb;17;PianoClub2;4/4;1;96;
ApKb;18;PianoClub3;4/4;1;96;
ApKb;19;PianoClub4;4/4;2;96;
ApKb;20;PianoClub5;4/4;2;96;
ApKb;21;PianoClub6;4/4;2;96;
ApKb;22;PianoClub7;4/4;2;96;
ApKb;23;AnalogPop1;4/4;2;93;
ApKb;24;AnalogPop2;4/4;2;93;
ApKb;25;AnalogPop3;4/4;1;93;
ApKb;26;6/8PopC;4/4;4;100;C
ApKb;27;ProgRockC;4/4;4;120;C
ApKb;28;CoolFunk;4/4;1;96;
ApKb;29;ClubJazz1C;4/4;4;125;C
ApKb;30;ClubJazz2N;4/4;4;125;N
ApKb;31;GosplFnk1C;4/4;4;106;C
ApKb;32;GosplFnk2C;4/4;4;106;C
ApKb;33;R&BDisco;4/4;2;110;
ApKb;34;R&BBalladC;4/4;4;113;C
ApKb;35;BalladEP1;4/4;2;74;
ApKb;36;BalladEP2;4/4;2;74;
ApKb;37;BalladEP3;4/4;2;74;
ApKb;38;SwingEP;4/4;1;101;
ApKb;39;EPChords;4/4;2;101;
ApKb;40;6/8R&B1;4/4;2;61;
ApKb;41;6/8R&B2;4/4;2;61;
ApKb;42;6/8R&B3;4/4;1;61;
ApKb;43;6/8R&B4;4/4;1;61;
ApKb;44;6/8R&B5;4/4;2;61;
ApKb;45;6/8R&B6;4/4;2;61;
ApKb;46;6/8R&B7;4/4;2;61;
ApKb;47;HipHopEpic;4/4;2;85;
ApKb;48;HipHopN;4/4;2;105;N
ApKb;49;Soul1N;4/4;1;120;N
ApKb;50;Soul2N;4/4;4;120;N
ApKb;51;Soul3N;4/4;4;120;N
ApKb;52;SoulBeatC;4/4;4;124;C
ApKb;53;SoulSwng1C;4/4;4;124;C
ApKb;54;SoulSwng2C;4/4;4;124;C
ApKb;55;NewGospel1;4/4;2;90;
ApKb;56;NewGospel2;4/4;2;90;
ApKb;57;NewGospel3;4/4;1;90;
ApKb;58;NewGospel4;4/4;2;90;
ApKb;59;Clavi1;4/4;1;110;
ApKb;60;Clavi2;4/4;1;124;
ApKb;61;Clavi3;4/4;1;124;
ApKb;62;Clavi4;4/4;1;124;
ApKb;63;SuperClavi;4/4;4;101;
ApKb;64;TouchClavi;4/4;1;101;
ApKb;65;AmbientN;4/4;4;88;N
ApKb;66;ClubHouseN;4/4;2;128;N
ApKb;67;HousePf;4/4;1;130;
ApKb;68;DeepHouseN;4/4;1;130;N
ApKb;69;AcstcJazzN;4/4;4;204;N
ApKb;70;ShuflBlusC;4/4;4;115;C
ApKb;71;SlowBluesC;4/4;2;49;C
ApKb;72;PnoBoogy1C;4/4;8;160;C
ApKb;73;PnoBoogy2C;4/4;4;160;C
ApKb;74;Reggae;4/4;2;92;
ApKb;75;Salsa1C;4/4;4;177;C
ApKb;76;Salsa2N;4/4;1;123;N
ApKb;77;Salsa3N;4/4;4;123;N
ApKb;78;AfroCubanC;4/4;4;200;C
ApKb;79;BombaC;4/4;4;99;C
ApKb;80;DscoLtnC;4/4;4;100;C
ApKb;81;Baroque1C;4/4;4;88;C
ApKb;82;Baroque2C;4/4;4;88;C
ApKb;83;PfArp1;4/4;2;64;
ApKb;84;PfArp2;4/4;2;74;
ApKb;85;PfArp3;4/4;2;124;
ApKb;86;PfArp4;4/4;2;130;
ApKb;87;PfArp5;4/4;2;130;
ApKb;88;PfArp6;4/4;2;65;
ApKb;89;PfArp7;4/4;1;116;
ApKb;90;PfArp8;4/4;1;96;
ApKb;91;PfArp9;4/4;1;90;
ApKb;92;PfArp10;4/4;1;90;
ApKb;93;PfArp11;4/4;1;90;
ApKb;94;PfArp12;4/4;1;90;
ApKb;95;PfArp13;4/4;1;90;
ApKb;96;PfArp14;4/4;2;130;
ApKb;97;PfArp15;4/4;1;74;
Org;98;ProgRockN;4/4;4;110;N
Org;99;JazzFunk1C;4/4;4;120;C
Org;100;JazzFunk2;4/4;4;120;
Org;101;FunkOrgan1;4/4;2;110;
Org;102;FunkOrgan2;4/4;2;110;
Org;103;HipHop1N;4/4;2;105;N
Org;104;HipHop2N;4/4;2;105;N
Org;105;SoulN;4/4;1;120;N
Org;106;HouseOrg1;4/4;1;130;
Org;107;HouseOrg2;4/4;1;130;
Org;108;HouseOrg3;4/4;1;130;
Org;109;HouseOrg4;4/4;1;130;
Org;110;SlwBlues1N;4/4;4;72;N
Org;111;SlwBlues2N;4/4;4;72;N
Org;112;Reggae1;4/4;4;102;
Org;113;Reggae2;4/4;4;90;
Org;114;Reggae3;4/4;1;102;
Org;115;Reggae4;4/4;1;92;
Org;116;Reggae5;4/4;2;92;
Org;117;Reggae6;4/4;2;120;
Org;118;LatinRock;4/4;2;120;
Org;119;LatinOrgan;4/4;1;110;
Guit;120;OverdrvGtN;4/4;4;120;N
Guit;121;GtrOver1;1/4;4;180;
Guit;122;GtrOver2N;1/4;4;120;N
Guit;123;70sRock1;4/4;2;130;
Guit;124;70sRock2;4/4;2;130;
Guit;125;70sRock3N;4/4;2;130;N
Guit;126;70sRock4N;4/4;2;130;N
Guit;127;70sRock5N;4/4;2;130;N
Guit;128;OverTheTop;4/4;2;120;
Guit;129;AltRockN;4/4;4;100;N
Guit;130;XoverRck1N;4/4;2;100;N
Guit;131;XoverRck2N;4/4;2;100;N
Guit;132;XoverRck3N;4/4;1;100;N
Guit;133;XoverRck4N;4/4;2;100;N
Guit;134;XoverRck5N;4/4;2;100;N
Guit;135;GtrPop1C;4/4;4;100;C
Guit;136;GuitarPop2;4/4;1;90;
Guit;137;GuitarPop3;4/4;1;90;
Guit;138;GuitarPop4;4/4;1;90;
Guit;139;Unplugged;4/4;4;120;
Guit;140;FngrPikn1N;4/4;2;94;N
Guit;141;FngrPikn2N;4/4;2;94;N
Guit;142;FngrPikn3N;4/4;2;94;N
Guit;143;FngrPikn4N;4/4;3;94;N
Guit;144;FngrPikn5N;4/4;1;94;N
Guit;145;Pickin1;4/4;3;120;
Guit;146;Pickin2;4/4;2;120;
Guit;147;12Guitar;4/4;1;97;
Guit;148;WorshpFstC;4/4;8;114;C
Guit;149;NewCntryC;4/4;4;118;C
Guit;150;BrPopSwngC;4/4;2;110;C
Guit;151;Slowfeel1;4/4;1;74;
Guit;152;Slowfeel2;4/4;1;74;
Guit;153;Slowfeel3;4/4;1;74;
Guit;154;AnalogPop;4/4;1;93;
Guit;155;6/8BalladC;6/8;4;87;C
Guit;156;ProgRockN;4/4;4;110;N
Guit;157;RockGtr1;4/4;1;120;
Guit;158;RockGtr2;4/4;1;120;
Guit;159;Funky1;4/4;2;132;
Guit;160;Funky2;4/4;2;120;
Guit;161;Funky3;4/4;1;120;
Guit;162;Smooth1;4/4;2;115;
Guit;163;Smooth2;4/4;2;115;
Guit;164;FlipHopN;4/4;1;132;N
Guit;165;HipHop1;4/4;2;104;
Guit;166;HipHop2N;4/4;2;104;N
Guit;167;HipHop3C;4/4;4;96;C
Guit;168;HipRockC;4/4;4;90;C
Guit;169;ClscHipHp;4/4;2;90;
Guit;170;NewGospelN;4/4;2;90;N
Guit;171;CleanGtr1;4/4;2;120;
Guit;172;CleanGtr2;4/4;2;120;
Guit;173;News;4/4;2;120;
Guit;174;ChillOut;4/4;1;79;
Guit;175;BigBeat1N;4/4;4;115;N
Guit;176;BigBeat2N;4/4;1;145;N
Guit;177;ModrnJazzC;4/4;16;218;C
Guit;178;R&RshufflC;4/4;4;192;C
Guit;179;SlowBluesN;4/4;1;72;N
Guit;180;Reggae;4/4;1;102;
Guit;181;MontunoN;4/4;2;100;N
Guit;182;GuaguancoC;4/4;4;120;C
Guit;183;LtnPhrase1;4/4;2;120;
Guit;184;LtnPhrase2;4/4;1;120;
Guit;185;SpnshPop1;4/4;2;120;
Guit;186;SpnshPop2;4/4;1;120;
Guit;187;Turkish1N;4/4;2;105;N
Guit;188;Turkish2N;4/4;2;105;N
Guit;189;Strum1;4/4;1;120;
Guit;190;Strum2;4/4;2;120;
Guit;191;Strum3;4/4;2;120;
Guit;192;GuitarArp1;4/4;1;120;
Guit;193;GuitarArp2;4/4;1;120;
Guit;194;GuitarArp3;4/4;1;120;
Guit;195;RolliArp;4/4;4;60;
Guit;196;Lick1;4/4;4;120;
Guit;197;Lick2;4/4;4;120;
Guit;198;Lick3;4/4;2;120;
Bass;199;AltRockN;4/4;4;97;N
Bass;200;XoverRockN;4/4;1;100;N
Bass;201;UnpluggedN;4/4;4;113;N
Bass;202;70sRock1N;4/4;4;130;N
Bass;203;70sRock2N;4/4;1;130;N
Bass;204;8BeatBascN;4/4;4;120;N
Bass;205;8BeatRockN;4/4;4;75;N
Bass;206;8BeatSlowN;4/4;4;78;N
Bass;207;SoftRockN;4/4;1;120;N
Bass;208;16BtBalldN;4/4;4;75;N
Bass;209;PnoClub1N;4/4;1;96;N
Bass;210;PnoClub2N;4/4;2;96;N
Bass;211;PnoClub3N;4/4;4;96;N
Bass;212;AnalgPop1N;4/4;2;93;N
Bass;213;AnalgPop2N;4/4;4;93;N
Bass;214;6/8PopN;4/4;4;100;N
Bass;215;6/8BalladN;6/8;4;87;N
Bass;216;PickBassN;4/4;4;120;N
Bass;217;FunkN;4/4;2;132;N
Bass;218;CoolFunk1N;4/4;2;96;N
Bass;219;CoolFunk2N;4/4;2;96;N
Bass;220;CoolFunk3N;4/4;4;96;N
Bass;221;CoolFunk4N;4/4;2;96;N
Bass;222;CoolFunk5N;4/4;1;96;N
Bass;223;JazzFunk1N;4/4;2;120;N
Bass;224;JazzFunk2N;4/4;4;120;N
Bass;225;JazzFunk3N;4/4;4;123;N
Bass;226;ClubJazz1N;4/4;4;125;N
Bass;227;ClubJazz2N;4/4;4;92;N
Bass;228;PopShufflN;4/4;4;94;N
Bass;229;R&BDiscoN;4/4;2;110;N
Bass;230;ChartPopC;4/4;4;92;C
Bass;231;NewR&B1C;4/4;2;98;C
Bass;232;NewR&B2;4/4;1;97;
Bass;233;NewR&B3;4/4;2;97;
Bass;234;NewR&B4N;4/4;2;90;N
Bass;235;PopR&BC;4/4;4;67;C
Bass;236;R&BAnaPopC;4/4;4;95;C
Bass;237;FlipHop1N;4/4;2;132;N
Bass;238;FlipHop2N;4/4;2;132;N
Bass;239;2BZ4UN;4/4;4;75;N
Bass;240;PepRally;4/4;2;75;
Bass;241;SouthRapN;4/4;2;90;N
Bass;242;HipHopN;4/4;2;105;N
Bass;243;HipRockC;4/4;4;90;C
Bass;244;RegetonC;4/4;4;98;C
Bass;245;ClscHipHpN;4/4;2;90;N
Bass;246;Soul1N;4/4;4;120;N
Bass;247;Soul2N;4/4;4;120;N
Bass;248;Soul3N;4/4;4;120;N
Bass;249;SoulBeatC;4/4;4;124;C
Bass;250;NewGospelN;4/4;2;90;N
Bass;251;FngrBass1N;4/4;1;115;N
Bass;252;FngrBass2N;4/4;1;115;N
Bass;253;FngrBass3N;4/4;3;115;N
Bass;254;FngrBass4N;4/4;1;115;N
Bass;255;FngrBass5N;4/4;2;150;N
Bass;256;FngrBass6N;4/4;2;89;N
Bass;257;FngrBass7N;4/4;2;89;N
Bass;258;FngrBass8N;4/4;1;115;N
Bass;259;FngrBass9N;4/4;1;115;N
Bass;260;FngrBs10N;4/4;4;107;N
Bass;261;SlapBass1;4/4;4;120;
Bass;262;SlapBass2N;4/4;1;105;N
Bass;263;SlapBass3N;4/4;2;110;N
Bass;264;SlapBass4N;4/4;3;120;N
Bass;265;SlapBass5N;4/4;1;120;N
Bass;266;GruvBass;4/4;2;120;
Bass;267;ChillOut1N;4/4;2;79;N
Bass;268;ChillOut2N;4/4;4;79;N
Bass;269;ClubtekBas;4/4;1;70;
Bass;270;SynthPopN;4/4;2;90;N
Bass;271;BrkBeats1N;4/4;4;115;N
Bass;272;BrkBeats2N;4/4;4;88;N
Bass;273;TechnoN;4/4;4;137;N
Bass;274;TranceN;4/4;1;140;N
Bass;275;TrncBass1N;4/4;2;143;N
Bass;276;TrncBass2;4/4;1;143;
Bass;277;TekBass;4/4;1;138;
Bass;278;DrmDanceN;4/4;2;136;N
Bass;279;IbizaN;4/4;2;135;N
Bass;280;RetroPopN;4/4;2;126;N
Bass;281;DscoHouseC;4/4;4;126;C
Bass;282;ClubHouseN;4/4;1;128;N
Bass;283;Garage1N;4/4;2;127;N
Bass;284;Garage2N;4/4;2;127;N
Bass;285;Cyborg;4/4;1;90;
Bass;286;Kronic;4/4;1;100;
Bass;287;Wazzo;4/4;1;94;
Bass;288;SyBass1N;4/4;1;120;N
Bass;289;SyBass2N;4/4;1;120;N
Bass;290;SyBass3N;4/4;1;120;N
Bass;291;AcstcJaz1N;4/4;4;204;N
Bass;292;AcstcJaz2N;4/4;4;204;N
Bass;293;AcstcJaz3N;4/4;4;204;N
Bass;294;AcstcJaz4N;4/4;4;204;N
Bass;295;AcstcJaz5N;4/4;4;204;N
Bass;296;AcstcBasN;4/4;4;132;N
Bass;297;SlowBluesN;4/4;4;72;N
Bass;298;JmboReggC;4/4;4;100;C
Bass;299;Reggae1;4/4;4;102;
Bass;300;Reggae2N;4/4;2;92;N
Bass;301;Montuno1N;4/4;4;100;N
Bass;302;Montuno2N;4/4;1;100;N
Bass;303;FretlssBsN;4/4;4;124;N
Bass;304;LtnHouseN;4/4;4;138;N
Bass;305;SpnshPop1N;4/4;1;120;N
Bass;306;SpnshPop2N;4/4;1;120;N
Bass;307;SpnshPop3N;4/4;1;120;N
Bass;308;TurkPopN;4/4;4;101;N
Bass;309;TurkDanceN;4/4;4;130;N
Bass;310;Turkish1N;4/4;2;105;N
Bass;311;Turkish2N;4/4;2;105;N
Str;312;NewR&B1N;4/4;2;90;N
Str;313;NewR&B2N;4/4;2;90;N
Str;314;NewR&B3N;4/4;2;90;N
Str;315;NewR&B4N;4/4;2;90;N
Str;316;NewR&B5N;4/4;2;90;N
Str;317;DirtySy1N;4/4;4;85;N
Str;318;DirtySy2;4/4;4;85;
Str;319;HipHpEpic1;4/4;2;85;
Str;320;HipHpEpic2;4/4;2;85;
Str;321;HipHop1N;4/4;2;105;N
Str;322;HipHop2N;4/4;1;105;N
Str;323;PsyPizzN;4/4;1;143;N
Str;324;IrishHymnC;3/4;4;70;C
Str;325;Turkish1N;4/4;2;105;N
Str;326;Turkish2N;4/4;2;86;N
Str;327;Orcestra1C;4/4;8;102;C
Str;328;Orcestra2C;4/4;4;102;C
Str;329;Orcestra3C;4/4;8;102;C
Str;330;Baroque1C;4/4;4;88;C
Str;331;Baroque2C;4/4;4;88;C
Str;332;Strings1;4/4;1;101;
Str;333;Strings2;4/4;1;101;
Str;334;Strings3;4/4;1;101;
Str;335;Strings4;4/4;1;101;
Str;336;Strings5;4/4;1;101;
Str;337;Strings6;4/4;1;101;
Str;338;Strings7;4/4;1;101;
Str;339;Strings8;4/4;1;101;
Str;340;Strings9;4/4;2;120;
Str;341;Jupiter;4/4;4;120;
Str;342;StrngsUp1N;4/4;1;120;N
Str;343;StrnsDwn1N;4/4;1;120;N
Str;344;StrngsUp2N;4/4;1;120;N
Str;345;StrnsDwn2N;4/4;1;120;N
Str;346;Cello1;4/4;2;120;
Str;347;Cello2;4/4;2;120;
Str;348;OrcStrings;4/4;4;126;
Str;349;OrchChord;4/4;4;126;
Str;350;Pizz;4/4;1;120;
Str;351;Harp1;4/4;2;120;
Str;352;Harp2;4/4;2;120;
Str;353;Harp3;4/4;1;120;
Brs;354;Funk1;4/4;2;132;
Brs;355;Funk2;4/4;4;132;
Brs;356;Funk3;4/4;2;132;
Brs;357;Funk4;4/4;1;132;
Brs;358;JazzFunk1;4/4;4;120;
Brs;359;JazzFunk2;4/4;1;120;
Brs;360;Soul;4/4;1;120;
Brs;361;NewGospel;4/4;2;90;
Brs;362;Salsa1;4/4;2;123;
Brs;363;Salsa2;4/4;4;120;
Brs;364;Salsa3N;4/4;2;123;N
Brs;365;Salsa4N;4/4;2;123;N
Brs;366;Salsa5N;4/4;2;123;N
Brs;367;Salsa6N;4/4;1;123;N
Brs;368;Samba1;4/4;4;120;
Brs;369;Samba2;4/4;2;120;
Brs;370;Turkish;9/8;2;125;
Brs;371;BrassSec1;4/4;1;120;
Brs;372;BrassSec2;4/4;1;120;
Brs;373;BrassSec3;4/4;1;120;
Brs;374;BrassSec4;4/4;1;120;
Brs;375;BrassSec5;4/4;1;120;
RdPp;376;HipHop1N;4/4;2;105;N
RdPp;377;HipHop2N;4/4;2;105;N
RdPp;378;Soul1N;4/4;4;120;N
RdPp;379;Soul2N;4/4;1;120;N
RdPp;380;Soul3N;4/4;1;120;N
RdPp;381;Samba1N;4/4;2;120;N
RdPp;382;Samba2N;4/4;4;120;N
RdPp;383;Samba3N;4/4;2;120;N
RdPp;384;Turkish1N;4/4;2;105;N
RdPp;385;Turkish2N;4/4;2;105;N
RdPp;386;Turkish3N;4/4;2;105;N
RdPp;387;Turkish4N;9/8;2;125;N
RdPp;388;Turkish5N;9/8;2;125;N
RdPp;389;Baroque1C;4/4;4;88;C
RdPp;390;Baroque2C;4/4;1;88;C
RdPp;391;Baroque3C;4/4;1;88;C
RdPp;392;Baroque4C;4/4;1;88;C
RdPp;393;Flute;4/4;1;120;
RdPp;394;Flutter;4/4;1;120;
Lead;395;R&BDisco1N;4/4;2;110;N
Lead;396;R&BDisco2N;4/4;1;110;N
Lead;397;R&BDisco3N;4/4;2;110;N
Lead;398;R&BDisco4N;4/4;1;110;N
Lead;399;DirtySy1;4/4;2;85;
Lead;400;DirtySy2;4/4;2;85;
Lead;401;DirtySy3;4/4;2;85;
Lead;402;HipHpEpicN;4/4;2;85;N
Lead;403;RapLead;4/4;2;100;
Lead;404;Trance1C;4/4;8;142;C
Lead;405;Trance2C;4/4;2;142;C
Lead;406;Trance3N;4/4;8;142;N
Lead;407;Trance4N;4/4;2;140;N
Lead;408;Trance5C;4/4;4;130;C
Lead;409;TranceN;4/4;2;130;N
Lead;410;PsyLead1N;4/4;1;143;N
Lead;411;PsyLead2N;4/4;2;143;N
Lead;412;Needlz;4/4;2;132;
Lead;413;CurlyQ;4/4;1;145;
PdMe;414;16BtBascC;4/4;4;77;C
PdMe;415;16BtPop1C;4/4;1;103;C
PdMe;416;16BtPop2C;4/4;4;94;C
PdMe;417;AnalogPop1;4/4;1;93;
PdMe;418;AnalogPop2;4/4;1;93;
PdMe;419;PopShufflN;4/4;4;80;N
PdMe;420;Smooth1;4/4;2;115;
PdMe;421;Smooth2;4/4;2;115;
PdMe;422;Cycle1;4/4;3;120;
PdMe;423;Cycle2;4/4;6;120;
PdMe;424;Cycle3N;4/4;14;118;N
PdMe;425;RipplesN;4/4;4;82;N
CrPc;426;R&BDisco1N;4/4;1;110;N
CrPc;427;R&BDisco2N;4/4;2;110;N
CrPc;428;Trance;4/4;4;140;
CrPc;429;Ethnic;7/4;3;120;
CrPc;430;MOD1;4/4;1;120;
CrPc;431;MOD2;4/4;2;120;
CrPc;432;Trill1;4/4;1;120;
CrPc;433;Trill2;4/4;2;120;
CrPc;434;MalltRoll1;4/4;2;120;
CrPc;435;MalltRoll2;4/4;2;120;
CrPc;436;SteelDrum1;4/4;1;160;
CrPc;437;SteelDrum2;4/4;2;95;
DrPc;438;70sRock;4/4;4;130;
DrPc;439;MondoRock;4/4;2;94;
DrPc;440;XoverRock;4/4;2;100;
DrPc;441;PopRock1;4/4;2;120;
DrPc;442;PopRock2;4/4;2;126;
DrPc;443;AnalogPop;4/4;2;93;
DrPc;444;ChillKtPop;4/4;2;85;
DrPc;445;Funk;4/4;2;132;
DrPc;446;CoolFunk;4/4;2;96;
DrPc;447;JazzFunk1;4/4;4;120;
DrPc;448;JazzFunk2;4/4;4;120;
DrPc;449;NewR&B;4/4;1;97;
DrPc;450;FlipHop;4/4;4;125;
DrPc;451;HipHop1;4/4;2;104;
DrPc;452;HipHop2;4/4;2;94;
DrPc;453;HipHop3;4/4;2;96;
DrPc;454;ClscHipHp;4/4;2;90;
DrPc;455;i-Hop;4/4;4;98;
DrPc;456;JazzHop;4/4;2;106;
DrPc;457;HipHpLoop1;4/4;4;95;
DrPc;458;HipHpLoop2;4/4;2;75;
DrPc;459;ChillOut;4/4;2;79;
DrPc;460;ChillKit;4/4;4;85;
DrPc;461;8ZChillBrk;4/4;4;85;
DrPc;462;8ZGatedBt;4/4;4;85;
DrPc;463;8ZHeavyHrt;4/4;4;85;
DrPc;464;8ZDestruct;4/4;4;115;
DrPc;465;8ZJarrin;4/4;2;105;
DrPc;466;8ZRomps;4/4;4;125;
DrPc;467;DubElement;4/4;2;120;
DrPc;468;Electronic;4/4;1;118;
DrPc;469;SpSFX;4/4;4;100;
DrPc;470;BigBeat1;4/4;2;120;
DrPc;471;BigBeat2;4/4;1;120;
DrPc;472;BigBeat3;4/4;1;138;
DrPc;473;BigBeat4;4/4;1;132;
DrPc;474;BigBeat5;4/4;2;124;
DrPc;475;Abstract;4/4;2;86;
DrPc;476;DnB1;4/4;1;170;
DrPc;477;DnB2;4/4;2;165;
DrPc;478;DnB3;4/4;2;154;
DrPc;479;PsycheTrnc;4/4;4;143;
DrPc;480;8ZPsyche1;4/4;2;140;
DrPc;481;8ZPsyche2;4/4;1;135;
DrPc;482;TranceKit1;4/4;4;136;
DrPc;483;TranceKit2;4/4;2;136;
DrPc;484;TranceKit3;4/4;2;136;
DrPc;485;8ZTrancBsc;4/4;1;136;
DrPc;486;8ZErlyLoFi;4/4;1;136;
DrPc;487;8ZNoizeXpr;4/4;4;136;
DrPc;488;8ZReversBt;4/4;1;136;
DrPc;489;8ZCrushDnc;4/4;2;136;
DrPc;490;Ibiza;4/4;2;135;
DrPc;491;House1;4/4;2;130;
DrPc;492;House2;4/4;4;120;
DrPc;493;House3;4/4;2;120;
DrPc;494;Garage;4/4;2;130;
DrPc;495;UKGarage;4/4;4;130;
DrPc;496;Bebop;4/4;4;152;
DrPc;497;ReggShufl1;4/4;4;90;
DrPc;498;ReggShufl2;4/4;4;90;
DrPc;499;Reggae1;4/4;2;92;
DrPc;500;Reggae2;4/4;1;92;
DrPc;501;Salsa;4/4;4;123;
